idx,start_sample,end_sample,out_wav,top1_label,top1_prob,top5
23,557472,560832,artifacts/isolated_snippets/snippet_23.wav,u,0.11836578696966171,"[(16, 'u', 0.11836578696966171), (0, '1', 0.08193808048963547), (10, 'q', 0.08087970316410065), (19, 'p', 0.07530701905488968), (7, '8', 0.06641607731580734)]"
24,593472,596832,artifacts/isolated_snippets/snippet_24.wav,8,0.1344035118818283,"[(7, '8', 0.1344035118818283), (19, 'p', 0.08674536645412445), (5, '6', 0.060721904039382935), (16, 'u', 0.060049958527088165), (8, '9', 0.05054516717791557)]"
25,597792,601152,artifacts/isolated_snippets/snippet_25.wav,p,0.13544204831123352,"[(19, 'p', 0.13544204831123352), (10, 'q', 0.10459546744823456), (0, '1', 0.09569410234689713), (26, 'j', 0.09012600779533386), (16, 'u', 0.08561155200004578)]"
26,634080,637440,artifacts/isolated_snippets/snippet_26.wav,8,0.11301590502262115,"[(7, '8', 0.11301590502262115), (18, 'o', 0.10757534950971603), (0, '1', 0.09267936646938324), (26, 'j', 0.08196219801902771), (19, 'p', 0.07109633088111877)]"
27,636960,640320,artifacts/isolated_snippets/snippet_27.wav,o,0.20548923313617706,"[(18, 'o', 0.20548923313617706), (19, 'p', 0.1011504977941513), (17, 'i', 0.07277493178844452), (5, '6', 0.05643359571695328), (35, 'm', 0.05331605300307274)]"
28,676704,680064,artifacts/isolated_snippets/snippet_28.wav,8,0.08536931872367859,"[(7, '8', 0.08536931872367859), (33, 'b', 0.0763561800122261), (16, 'u', 0.07445888966321945), (9, '0', 0.05476577207446098), (0, '1', 0.05342285707592964)]"
29,678144,681504,artifacts/isolated_snippets/snippet_29.wav,j,0.11786026507616043,"[(26, 'j', 0.11786026507616043), (5, '6', 0.07022695988416672), (7, '8', 0.06867436319589615), (6, '7', 0.0682571530342102), (10, 'q', 0.06794410943984985)]"
30,680448,683808,artifacts/isolated_snippets/snippet_30.wav,p,0.15633700788021088,"[(19, 'p', 0.15633700788021088), (16, 'u', 0.10233820229768753), (26, 'j', 0.0889209732413292), (10, 'q', 0.07848285138607025), (7, '8', 0.07044028490781784)]"
31,717312,720672,artifacts/isolated_snippets/snippet_31.wav,8,0.1355191171169281,"[(7, '8', 0.1355191171169281), (33, 'b', 0.07423198968172073), (8, '9', 0.0642758309841156), (26, 'j', 0.05831195414066315), (19, 'p', 0.05433514714241028)]"
32,718752,722112,artifacts/isolated_snippets/snippet_32.wav,j,0.1655675619840622,"[(26, 'j', 0.1655675619840622), (19, 'p', 0.09727435559034348), (28, 'l', 0.07129950076341629), (35, 'm', 0.0642639771103859), (10, 'q', 0.05135281756520271)]"
33,721344,724704,artifacts/isolated_snippets/snippet_33.wav,p,0.12399884313344955,"[(19, 'p', 0.12399884313344955), (26, 'j', 0.1223296970129013), (16, 'u', 0.10657539963722229), (10, 'q', 0.09840913116931915), (0, '1', 0.08180718123912811)]"
34,761664,765024,artifacts/isolated_snippets/snippet_34.wav,8,0.19312268495559692,"[(7, '8', 0.19312268495559692), (31, 'c', 0.08576241880655289), (26, 'j', 0.07385902851819992), (8, '9', 0.0569949597120285), (0, '1', 0.05148861184716225)]"
35,765696,769056,artifacts/isolated_snippets/snippet_35.wav,8,0.11947661638259888,"[(7, '8', 0.11947661638259888), (16, 'u', 0.08379695564508438), (19, 'p', 0.07275398820638657), (26, 'j', 0.057684555649757385), (33, 'b', 0.05399990826845169)]"
36,801696,805056,artifacts/isolated_snippets/snippet_36.wav,p,0.15627573430538177,"[(19, 'p', 0.15627573430538177), (7, '8', 0.09751159697771072), (18, 'o', 0.09025868773460388), (16, 'u', 0.07879860699176788), (26, 'j', 0.06839978694915771)]"
37,802848,806208,artifacts/isolated_snippets/snippet_37.wav,x,0.1958923190832138,"[(30, 'x', 0.1958923190832138), (35, 'm', 0.09302113950252533), (26, 'j', 0.07944497466087341), (31, 'c', 0.07632328569889069), (28, 'l', 0.05640452727675438)]"
38,805152,808512,artifacts/isolated_snippets/snippet_38.wav,u,0.1818520575761795,"[(16, 'u', 0.1818520575761795), (0, '1', 0.09755285829305649), (10, 'q', 0.09212072938680649), (26, 'j', 0.08984360098838806), (19, 'p', 0.0789967030286789)]"
39,842304,845664,artifacts/isolated_snippets/snippet_39.wav,p,0.11757325381040573,"[(19, 'p', 0.11757325381040573), (16, 'u', 0.11376369744539261), (7, '8', 0.08493589609861374), (18, 'o', 0.07510252296924591), (33, 'b', 0.07220585644245148)]"
40,843744,847104,artifacts/isolated_snippets/snippet_40.wav,j,0.1562364399433136,"[(26, 'j', 0.1562364399433136), (30, 'x', 0.11966851353645325), (35, 'm', 0.08695297688245773), (18, 'o', 0.06634508073329926), (31, 'c', 0.05367991328239441)]"
41,846336,849696,artifacts/isolated_snippets/snippet_41.wav,8,0.14519497752189636,"[(7, '8', 0.14519497752189636), (26, 'j', 0.08617168664932251), (19, 'p', 0.08588380366563797), (10, 'q', 0.0754682794213295), (9, '0', 0.07450951635837555)]"
42,883200,886560,artifacts/isolated_snippets/snippet_42.wav,8,0.15771609544754028,"[(7, '8', 0.15771609544754028), (19, 'p', 0.11077394336462021), (16, 'u', 0.07365381717681885), (9, '0', 0.07065530121326447), (26, 'j', 0.06852659583091736)]"
43,884928,888288,artifacts/isolated_snippets/snippet_43.wav,o,0.09327736496925354,"[(18, 'o', 0.09327736496925354), (26, 'j', 0.08713752776384354), (28, 'l', 0.08547201007604599), (10, 'q', 0.07681941986083984), (4, '5', 0.07563735544681549)]"
44,887520,890880,artifacts/isolated_snippets/snippet_44.wav,j,0.1198025792837143,"[(26, 'j', 0.1198025792837143), (20, 'a', 0.09857446700334549), (7, '8', 0.0765928104519844), (16, 'u', 0.07556507736444473), (11, 'w', 0.0645359456539154)]"
45,925248,928608,artifacts/isolated_snippets/snippet_45.wav,8,0.08571777492761612,"[(7, '8', 0.08571777492761612), (26, 'j', 0.08097280561923981), (19, 'p', 0.06551007181406021), (10, 'q', 0.05930591747164726), (28, 'l', 0.04778944328427315)]"
46,926976,930336,artifacts/isolated_snippets/snippet_46.wav,5,0.17051325738430023,"[(4, '5', 0.17051325738430023), (10, 'q', 0.10027381777763367), (26, 'j', 0.08219750225543976), (5, '6', 0.08084578812122345), (7, '8', 0.06673862785100937)]"
47,929280,932640,artifacts/isolated_snippets/snippet_47.wav,j,0.13648854196071625,"[(26, 'j', 0.13648854196071625), (0, '1', 0.10463888198137283), (16, 'u', 0.08816936612129211), (10, 'q', 0.06387928128242493), (8, '9', 0.05752868577837944)]"
48,964992,968352,artifacts/isolated_snippets/snippet_48.wav,o,0.1739761233329773,"[(18, 'o', 0.1739761233329773), (7, '8', 0.13267718255519867), (19, 'p', 0.10611812770366669), (8, '9', 0.05034859478473663), (35, 'm', 0.04548237845301628)]"
49,966720,970080,artifacts/isolated_snippets/snippet_49.wav,j,0.2054550051689148,"[(26, 'j', 0.2054550051689148), (19, 'p', 0.10802818834781647), (35, 'm', 0.0735488310456276), (30, 'x', 0.05482563003897667), (18, 'o', 0.05328010767698288)]"
50,968160,971520,artifacts/isolated_snippets/snippet_50.wav,o,0.2319849729537964,"[(18, 'o', 0.2319849729537964), (19, 'p', 0.07931137830018997), (7, '8', 0.06810886412858963), (4, '5', 0.05686448886990547), (26, 'j', 0.05390593409538269)]"
51,1007616,1010976,artifacts/isolated_snippets/snippet_51.wav,l,0.08354118466377258,"[(28, 'l', 0.08354118466377258), (31, 'c', 0.07515124976634979), (26, 'j', 0.06340797245502472), (7, '8', 0.06118779629468918), (33, 'b', 0.056745290756225586)]"
52,1009344,1012704,artifacts/isolated_snippets/snippet_52.wav,q,0.11904240399599075,"[(10, 'q', 0.11904240399599075), (30, 'x', 0.10964630544185638), (35, 'm', 0.07387719303369522), (26, 'j', 0.06780178099870682), (28, 'l', 0.06545869261026382)]"
53,1048224,1051584,artifacts/isolated_snippets/snippet_53.wav,o,0.10480440407991409,"[(18, 'o', 0.10480440407991409), (7, '8', 0.10352840274572372), (19, 'p', 0.0947812870144844), (35, 'm', 0.08727934211492538), (26, 'j', 0.06021477282047272)]"
54,1093440,1096800,artifacts/isolated_snippets/snippet_54.wav,8,0.13435474038124084,"[(7, '8', 0.13435474038124084), (31, 'c', 0.10176660865545273), (26, 'j', 0.06964795291423798), (35, 'm', 0.05418405681848526), (5, '6', 0.04443228244781494)]"
55,1094880,1098240,artifacts/isolated_snippets/snippet_55.wav,q,0.15970052778720856,"[(10, 'q', 0.15970052778720856), (26, 'j', 0.1383170485496521), (28, 'l', 0.05166563391685486), (20, 'a', 0.0492531843483448), (30, 'x', 0.048090070486068726)]"
56,1096032,1099392,artifacts/isolated_snippets/snippet_56.wav,5,0.22238177061080933,"[(4, '5', 0.22238177061080933), (7, '8', 0.1222650557756424), (18, 'o', 0.09125196933746338), (5, '6', 0.08086517453193665), (6, '7', 0.05958160012960434)]"
57,1147008,1150368,artifacts/isolated_snippets/snippet_57.wav,p,0.1232006773352623,"[(19, 'p', 0.1232006773352623), (18, 'o', 0.12258963286876678), (10, 'q', 0.09394253045320511), (7, '8', 0.0715663954615593), (4, '5', 0.046405766159296036)]"
